Message,Reply
Btw you're more than welcome to invite your girlfriend,Thanks bro ! She’s unfortunately she’s grafting her comp sci project that’s due on Wednesday so she’s won’t be able to make
1:28,Okay sick yeah that makes sense
Yours work 100% now?,Nah haven’t had much time to work on it sadly
We gonna grind through a lot this afternoon,Agreed
It just takes so much thinking to do anything  ,Dude it sucks. I don’t have it in me
How's the a1 mark looking?,Yeah pretty much exactly what I was expecting. Got 79
"Nah almost, 95 but I'll take it ",Dammmmn insane bro
"Dude idk how I'm already this bored, class ended two days ago",I feel you 
You go to gym yet today?,Nah rest day today sorry. What you hitting?
"Ah all good, I'm doing some chest and shoulders",Nice
"I'm just craving social time ngl  ever since I actually started talking to people I feel so shit when I'm not doing it. Anyways if you guys ever go out or do anything and you got an extra spot lemme know, would be sick",100% bro I definitely will. I don’t think I’m going to be doing much for the next bit with exams though 
"Awe thanks my g, yeah I get you same, it's gonna be a tough few weeks ",For real
"Pretty good, don't need any crazy marks luckily but still gonna do my best, only start next Wednesday too so I've got time",Yeah same. Definitely makes it easier knowing you don’t need any crazy marks for A2’s
"Pretty well, waiting for compsci so just kinda chilling for now",Ok nice
You?,I’m studying for economics and data science but they a while a way so I have a lot of time
Btw I'm gonna go chill by the dam for a but to get some sun if you wanna join,"Ah thanks man, sorry I didn’t see the message, was busy yesterday. Hope the dam was nice. We should hit another gym session together at some point soon"
"Ah it's all good dude no stress, had a good time. Yeah for sure that sounds sick, how about tomorrow? I'm happy to train anything","Ah sorry dude, I’m really busy the next few days. How about Saturday?"
"Yoo, how'd the move go?",Yoh dude. Moving sucks 
Just wanted to ask if you know what's going on with comp Sci marks,Why what’s up with yours? Can’t you see yours?
My results tab doesn't show the A2 marks,Have you checked sun student?
How I passed this module with my project going the way it did I'll never know but fuck it I ain't asking questions,Yeah dude you’re insane
"Started talking to this girl, who I'm still convinced is just a figment of my imagination  and that's just been great, got my new violin so that's super exciting, and gyms going great as well, really nothing to complain about",Hell yeah man
How about you?,Yeah been decent. Got my wisdom teeth out so haven’t been able to do much 
"Thanks for the birthday invite btw, appreciate it","Of course man, hope you can make it"
"My girlfriend, met her early December and things have been going really really well :)",Hell yeah man. She’s very welcome to come to my 21st
"But we have to go gym sometime, you back in stellies yet?",Yes yes
"Yep, got a bit lazy in the beginning of the year but been back at it for like 2 weeks or so",Valid same
"Hey dude, I'll be there at around 6 tonight if that's chilled, just have something on, but can't wait it's gonna be great",Sounds good brother. See you then. Looking forward to seeing you man
"My man, thank you so much for last night it was so fun, we definitely gotta make plans throughout the year.
I'll organize supper at my place sometimes soon
Hope your week goes well","Of course man, thank you so much for coming and bringing Hannah, she really seems lekker by the way. We must definitely do something soon"
"Hey Nick. Thanks again for inviting us to your 21st. It was a privilege to be invited and to share it with you and your family. I hope you didn’t feel too bad today. When you showed me your stand for the washing machine, I thought of the dustbin I did in our kitchen. Maybe this video will help with an idea for your wash basket. Have a good week and yell if I can help with advice.","Thanks so much for coming Alec, I really enjoyed having you guys here. Will definitely do something like that, it’s a great idea. I’ll message you if I have any questions and if not I’ll show it to you when it’s finished."
"Hi Nicholas

Thanks for your message & offer to foster for FLAR, please could we ask a few questions:

Where do you live?

Would you be able to collect supplies from us (Tamboerskloof or Rondebosch whichever is closer) or take the cat to Rondebosch Vet for their vaccinations or should they need medical attention.

We supply everything you need in terms of litter, food & medical treatment.",We live in newinbosch security estate which is just outside of stellenbosch
Oh dear That's a bit far for us. We usually only take fosters in S Suburbs & CBD areas but  will keep you in mind if there is a longterm adult foster,Oh no :( 
Do yk when we are getting our stats marks,Great timing for the question 
Ye im gonna,You king
I only worked a little bit  i was hella tired last night,Valid
She said it’s free,Ohhhhhh hell yeah
Theres a really pretty girl here damn,Go for her luke
Probably  the slides dont explain too well,Im gonna do that this weekend
Short with short curly black hair,Ermmmmm
,Haha
Im gonna do that this weekend,Yeah I’m gonna do it now
Im loaded with caffeine tho cuz i wanna grind compsci tonight,Caffeine past 15:00 is wild behaviour luke
Hahaha was it the assertion error?,Nah lol
We can set up the github repo and try to figure out who the fuck that guy is throughout the week,Ok sick 
Like today?,Yeah
Actually you can come to mine. The Jean Luc guy isnt here but he said we should just keep him updated,Ok sick
Actually you can come to mine. The Jean Luc guy isnt here but he said we should just keep him updated,Where is he?
"Oh yeah btw when you get here, please just park on the side of the road and not the driveway",Cool
Photo,You missed your chance
Make sure the <> inclusions are above the “” inclusions,…
…,They are
I thought codegen.c had a spelling mistake but it doesnt,Does that not mean that there is an error in it then?
Index is optional but should always be followed by gets,Makes sense thanks luke
Sorry that i couldn’t help,Nah nah no stress you did
Im so behind with data science im gonna do that shit now,Valid
I failed a small amount of test cases too,"Same, and I don’t know how… I tested mine pretty thoroughly"
When u going,Just got here
Idk people are stupid,I agree luke
Im gonna use the tht tomorrow to start tho,Fairs
Ill see u at the tut,You gonna come to my venue??
What time you going,What time you going
Ah sorry man havent worked on it again,Nah no stress was just curious
The proofs yes but for example that Prediction Interval for simple linear regression,There’s only one proof isn’t there? The bias variance one? Or did I miss one ?
But i dont think we need to explicitly memorise the mathematical formulas… idk it doesnt seem like something we’d be assessed on since we’re not doing math  yk,I’m hoping not. I’m gonna learn the confidence interval formula… as in y +- Z… just incase she asks what the general confidence interval is
"Like this for example 
Do you think theres a point in memorising it?",I’m gonna learn that one but I doubt she’ll ask
You gymming today??,Yes bb
Ok but im not gonna be there @ 3,Me neither
Are you going to compsci today?,What you gonna do?
Idk  i wanna study for OR but also not risk missing a test or something,I doubt there’ll be a test to be honest
Im at ginos now,Naughty naughty
You doing good mentally tho?,Yeah in kind of an is what it is mind set so surviving lol
Hello sorry for only answering now,No stress pookie
And you cant open the subroutine after inserting??,As in you can’t open a subroutine with the same name if something you’ve inserted?
Ive been doing ONLY compsci this whole recess,Making notes?
For where tho,What you mean?
To show formulas??,We have to write a report
Hell no ,Ive barely touched the theory
I just woke up give me a minute,No rush
And the type checking too???,Hell no
Ive implemented it but only pass 20/90 test cases lol,That could still be a good few percentages overall
I went on valgrind and i have 5000 bytes of lost memory,How do you do that?
